item_id,stratum,language,metric_class,target_label,target_text,family,canary_guid,license
s2-011,S2,en,exact,S2 compositional seed 011,"S2-011 letter lattice
A. Aster drifts the jade delta at 87.
B. Beryl echoes the violet ember at 96.
C. Cato folds the silver fable at 16.
D. Dessa glows the crimson glyph at 25.
checksum: L-506",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-012,S2,en,exact,S2 compositional seed 012,"S2-012 route receipt
leg 1: go north for 6; mark=T8
leg 2: go east for 8; mark=N4
leg 3: go south for 10; mark=V6
leg 4: go west for 12; mark=P9
total: 36; parity: even; code: R-744",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-013,S2,en,exact,S2 compositional seed 013,"S2-013 arithmetic card
row 1: n=18; n+step=23; n*step=90; glyph=silver
row 2: n=23; n+step=28; n*step=115; glyph=crimson
row 3: n=28; n+step=33; n*step=140; glyph=olive
checksum: A-461",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-014,S2,en,exact,S2 compositional seed 014,"S2-014 letter lattice
A. Aster glows the crimson glyph at 19.
B. Beryl halts the olive harbor at 28.
C. Cato arcs the amber atom at 37.
D. Dessa bends the blue binary at 46.
checksum: L-668",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-015,S2,en,exact,S2 compositional seed 015,"S2-015 route receipt
leg 1: go west for 12; mark=P9
leg 2: go north for 4; mark=R3
leg 3: go east for 9; mark=K7
leg 4: go south for 14; mark=M2
total: 39; parity: odd; code: R-816",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-016,S2,en,exact,S2 compositional seed 016,"S2-016 arithmetic card
row 1: n=21; n+step=24; n*step=63; glyph=amber
row 2: n=24; n+step=27; n*step=72; glyph=blue
row 3: n=27; n+step=30; n*step=81; glyph=copper
checksum: A-450",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-017,S2,en,exact,S2 compositional seed 017,"S2-017 letter lattice
A. Aster bends the blue binary at 40.
B. Beryl clicks the copper cipher at 49.
C. Cato drifts the jade delta at 58.
D. Dessa echoes the violet ember at 67.
checksum: L-742",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-018,S2,en,exact,S2 compositional seed 018,"S2-018 route receipt
leg 1: go south for 5; mark=M2
leg 2: go west for 13; mark=Q5
leg 3: go north for 8; mark=T8
leg 4: go east for 3; mark=N4
total: 29; parity: odd; code: R-641",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-019,S2,en,exact,S2 compositional seed 019,"S2-019 arithmetic card
row 1: n=24; n+step=30; n*step=144; glyph=jade
row 2: n=30; n+step=36; n*step=180; glyph=violet
row 3: n=36; n+step=42; n*step=216; glyph=silver
checksum: A-594",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-020,S2,en,exact,S2 compositional seed 020,"S2-020 letter lattice
A. Aster echoes the violet ember at 61.
B. Beryl folds the silver fable at 70.
C. Cato glows the crimson glyph at 79.
D. Dessa halts the olive harbor at 88.
checksum: L-904",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-021,S2,en,exact,S2 compositional seed 021,"S2-021 route receipt
leg 1: go east for 11; mark=N4
leg 2: go south for 9; mark=V6
leg 3: go west for 7; mark=P9
leg 4: go north for 5; mark=R3
total: 32; parity: even; code: R-713",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-022,S2,en,exact,S2 compositional seed 022,"S2-022 arithmetic card
row 1: n=27; n+step=31; n*step=108; glyph=crimson
row 2: n=31; n+step=35; n*step=124; glyph=olive
row 3: n=35; n+step=39; n*step=140; glyph=amber
checksum: A-583",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-023,S2,en,exact,S2 compositional seed 023,"S2-023 letter lattice
A. Aster halts the olive harbor at 82.
B. Beryl arcs the amber atom at 91.
C. Cato bends the blue binary at 11.
D. Dessa clicks the copper cipher at 20.
checksum: L-069",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-024,S2,en,exact,S2 compositional seed 024,"S2-024 route receipt
leg 1: go north for 4; mark=R3
leg 2: go east for 5; mark=K7
leg 3: go south for 6; mark=M2
leg 4: go west for 7; mark=Q5
total: 22; parity: even; code: R-538",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-025,S2,en,exact,S2 compositional seed 025,"S2-025 arithmetic card
row 1: n=30; n+step=32; n*step=60; glyph=blue
row 2: n=32; n+step=34; n*step=64; glyph=copper
row 3: n=34; n+step=36; n*step=68; glyph=jade
checksum: A-572",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-026,S2,en,exact,S2 compositional seed 026,"S2-026 letter lattice
A. Aster clicks the copper cipher at 14.
B. Beryl drifts the jade delta at 23.
C. Cato echoes the violet ember at 32.
D. Dessa folds the silver fable at 41.
checksum: L-143",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-027,S2,en,exact,S2 compositional seed 027,"S2-027 route receipt
leg 1: go west for 10; mark=Q5
leg 2: go north for 14; mark=T8
leg 3: go east for 5; mark=N4
leg 4: go south for 9; mark=V6
total: 38; parity: even; code: R-857",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-028,S2,en,exact,S2 compositional seed 028,"S2-028 arithmetic card
row 1: n=33; n+step=38; n*step=165; glyph=violet
row 2: n=38; n+step=43; n*step=190; glyph=silver
row 3: n=43; n+step=48; n*step=215; glyph=crimson
checksum: A-716",arithmetic,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-029,S2,en,exact,S2 compositional seed 029,"S2-029 letter lattice
A. Aster folds the silver fable at 35.
B. Beryl glows the crimson glyph at 44.
C. Cato halts the olive harbor at 53.
D. Dessa arcs the amber atom at 62.
checksum: L-305",letter-lattice,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
s2-030,S2,en,exact,S2 compositional seed 030,"S2-030 route receipt
leg 1: go south for 3; mark=V6
leg 2: go west for 10; mark=P9
leg 3: go north for 4; mark=R3
leg 4: go east for 11; mark=K7
total: 28; parity: even; code: R-682",route,0f72d6e8-6d5a-4bb1-b8e0-cad1e31a3e6f,CC0-1.0
